Date,Open,High,Low,Close,Adj Close,Volume
2024-03-06,1342.699951,1344.599976,1304.000000,1324.800049,1319.140259,2758443
2024-03-07,1329.800049,1335.349976,1315.000000,1325.449951,1319.787354,1640786
2024-03-11,1331.000000,1342.349976,1322.050049,1326.949951,1321.281006,2217673
2024-03-12,1335.000000,1346.949951,1293.449951,1301.300049,1295.740723,3139768
2024-03-13,1307.000000,1308.000000,1188.099976,1209.550049,1204.382690,8670336
2024-03-14,1210.000000,1276.000000,1195.699951,1267.849976,1262.433472,7195603
2024-03-15,1273.800049,1288.849976,1256.650024,1283.000000,1277.518799,4024586
2024-03-18,1250.000000,1270.050049,1227.250000,1266.599976,1261.188843,4858444
2024-03-19,1271.050049,1272.849976,1237.250000,1241.199951,1235.897339,2311324
2024-03-20,1248.000000,1252.949951,1230.199951,1245.400024,1240.079468,2772098
2024-03-21,1260.000000,1268.699951,1251.300049,1262.449951,1257.056519,3155563
2024-03-22,1262.449951,1289.099976,1255.050049,1281.599976,1276.124756,3076926
2024-03-26,1281.599976,1314.000000,1281.000000,1304.199951,1298.628174,3610644
2024-03-27,1315.000000,1343.000000,1312.099976,1322.800049,1317.148804,4938400
2024-03-28,1334.000000,1358.699951,1314.000000,1341.849976,1336.117432,4188741
2024-04-01,1356.800049,1381.750000,1350.250000,1375.900024,1370.021973,3251462
2024-04-02,1397.800049,1424.949951,1388.199951,1404.150024,1398.151245,5769001
2024-04-03,1399.849976,1402.000000,1389.199951,1397.199951,1391.230835,2727582
2024-04-04,1408.599976,1408.599976,1362.250000,1366.849976,1361.010620,4197697
2024-04-05,1367.000000,1381.900024,1357.349976,1375.550049,1369.673462,1853120
2024-04-08,1381.949951,1381.949951,1337.000000,1348.650024,1342.888428,14038860
2024-04-09,1356.150024,1364.900024,1346.099976,1356.500000,1350.704834,1935801
2024-04-10,1359.000000,1359.900024,1348.199951,1352.300049,1346.522827,3984001
2024-04-12,1350.000000,1358.400024,1341.000000,1344.199951,1338.457275,2183230
2024-04-15,1320.000000,1335.000000,1308.599976,1315.550049,1309.929810,3372368
2024-04-16,1302.000000,1322.000000,1294.400024,1304.349976,1298.777588,2696593
2024-04-18,1315.949951,1336.500000,1291.000000,1295.550049,1290.015259,6219274
2024-04-19,1280.000000,1316.000000,1270.000000,1310.000000,1304.403442,3899281
2024-04-22,1321.099976,1331.000000,1315.000000,1321.099976,1315.456055,8903130
2024-04-23,1321.099976,1338.550049,1318.900024,1322.099976,1316.451782,3847872
2024-04-24,1331.000000,1332.900024,1318.050049,1320.500000,1314.858643,2553035
2024-04-25,1320.500000,1336.949951,1316.800049,1330.550049,1324.865723,6097087
2024-04-26,1340.000000,1341.599976,1321.099976,1324.599976,1318.941040,2565490
2024-04-29,1334.300049,1335.750000,1307.000000,1317.250000,1311.622437,2191564
2024-04-30,1323.550049,1334.650024,1316.250000,1324.900024,1319.239868,2321071
2024-05-02,1333.949951,1348.699951,1306.550049,1338.800049,1333.080444,7991511
2024-05-03,1353.000000,1354.000000,1310.449951,1320.300049,1314.659546,3528822
2024-05-06,1322.500000,1322.500000,1257.000000,1289.949951,1284.439087,4000668
2024-05-07,1291.099976,1301.150024,1265.000000,1287.650024,1282.148926,3474340
2024-05-08,1293.349976,1293.699951,1269.050049,1277.250000,1271.793335,1627418
2024-05-09,1279.000000,1285.800049,1240.000000,1244.550049,1239.233154,2591646
2024-05-10,1250.000000,1278.699951,1245.750000,1266.750000,1261.338257,2022402
2024-05-13,1267.000000,1313.000000,1261.650024,1306.400024,1300.818848,2495810
2024-05-14,1306.400024,1339.900024,1285.250000,1331.250000,1325.562744,2989543
2024-05-15,1337.849976,1353.949951,1333.000000,1337.849976,1332.134521,2189768
2024-05-16,1352.199951,1366.750000,1310.500000,1345.050049,1339.303833,4822618
2024-05-17,1330.000000,1343.300049,1321.150024,1335.699951,1329.993652,1945123
2024-05-21,1344.000000,1398.800049,1333.000000,1385.500000,1379.580933,4200578
2024-05-22,1394.349976,1394.349976,1364.199951,1378.199951,1372.312012,1878562
